type,city,temp,wind,pressure,timestamp
current,"Abu Dhabi,AE",26.89,2.57,1013,2025-04-21T21:00:46
current,"Dubai,AE",26.96,1.54,1013,2025-04-21T21:00:46
current,"London,GB",11.0,3.6,1013,2025-04-21T21:00:33
current,"Frankfurt,DE",12.06,2.57,1014,2025-04-21T20:57:00
current,"Mumbai,IN",28.62,5.08,1009,2025-04-21T21:00:47
current,"Delhi,IN",25.05,1.54,1007,2025-04-21T20:58:40
current,"Sydney,AU",15.76,5.14,1014,2025-04-21T21:00:47
current,"New York,US",11.34,5.66,1021,2025-04-21T20:57:10
current,"Tokyo,JP",15.15,2.57,1018,2025-04-21T20:57:33
current,"Bangkok,TH",30.56,4.19,1009,2025-04-21T20:55:29
